RH%,5.0C,7.5C,10.0C,12.5C,15.0C,17.5C,20.0C,22.5C,25.0C,27.5C,30.0C,32.5C,35.0C,37.5C,40.0C,42.5C,45.0C
5.0,1.14,3.67,6.2,8.74,11.28,13.83,16.38,18.95,21.52,24.1,26.7,29.3,31.92,34.56,37.21,39.88,42.57
10.0,1.29,3.84,6.4,8.98,11.56,14.16,16.77,19.4,22.04,24.71,27.4,30.11,32.85,35.62,38.42,41.27,44.15
15.0,1.43,4.01,6.61,9.22,11.84,14.49,17.15,19.85,22.56,25.31,28.09,30.91,33.77,36.68,39.64,42.65,45.72
20.0,1.58,4.18,6.81,9.45,12.12,14.82,17.54,20.29,23.08,25.92,28.79,31.72,34.7,37.74,40.85,44.03,47.3
25.0,1.72,4.35,7.01,9.69,12.4,15.15,17.92,20.74,23.61,26.52,29.49,32.52,35.62,38.8,42.06,45.41,48.87
30.0,1.86,4.53,7.21,9.93,12.68,15.48,18.31,21.19,24.13,27.12,30.19,33.32,36.55,39.86,43.27,46.8,50.45
35.0,2.01,4.7,7.42,10.17,12.97,15.8,18.69,21.64,24.65,27.73,30.88,34.13,37.47,40.92,44.48,48.18,52.02
40.0,2.15,4.87,7.62,10.41,13.25,16.13,19.08,22.09,25.17,28.33,31.58,34.93,38.39,41.98,45.7,49.56,53.59
45.0,2.29,5.04,7.82,10.65,13.53,16.46,19.46,22.54,25.69,28.93,32.28,35.74,39.32,43.04,46.91,50.95,55.17
50.0,2.44,5.21,8.02,10.89,13.81,16.79,19.85,22.98,26.21,29.54,32.98,36.54,40.24,44.1,48.12,52.33,56.74
55.0,2.58,5.38,8.23,11.13,14.09,17.12,20.23,23.43,26.73,30.14,33.68,37.35,41.17,45.16,49.33,53.71,58.32
60.0,2.73,5.55,8.43,11.36,14.37,17.45,20.62,23.88,27.25,30.75,34.37,38.15,42.09,46.22,50.54,55.09,59.89
65.0,2.87,5.72,8.63,11.6,14.65,17.78,21.0,24.33,27.77,31.35,35.07,38.95,43.02,47.28,51.76,56.48,61.46
70.0,3.01,5.89,8.83,11.84,14.93,18.11,21.39,24.78,28.3,31.95,35.77,39.76,43.94,48.34,52.97,57.86,63.04
75.0,3.16,6.06,9.03,12.08,15.21,18.44,21.77,25.23,28.82,32.56,36.47,40.56,44.86,49.4,54.18,59.24,64.61
80.0,3.3,6.23,9.24,12.32,15.49,18.77,22.16,25.68,29.34,33.16,37.16,41.37,45.79,50.46,55.39,60.63,66.19
85.0,3.44,6.4,9.44,12.56,15.77,19.1,22.54,26.12,29.86,33.77,37.86,42.17,46.71,51.52,56.6,62.01,67.76
90.0,3.59,6.58,9.64,12.8,16.05,19.43,22.93,26.57,30.38,34.37,38.56,42.97,47.64,52.57,57.82,63.39,69.34
95.0,3.73,6.75,9.84,13.04,16.33,19.76,23.31,27.02,30.9,34.97,39.26,43.78,48.56,53.63,59.03,64.78,70.91
100.0,3.88,6.92,10.05,13.27,16.62,20.08,23.7,27.47,31.42,35.58,39.95,44.58,49.49,54.69,60.24,66.16,72.48
