RH%,5.0C,7.5C,10.0C,12.5C,15.0C,17.5C,20.0C,22.5C,25.0C,27.5C,30.0C,32.5C,35.0C,37.5C,40.0C,42.5C,45.0C
5.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,5.83,6.67,7.5,8.33,9.17,10,10,10
10.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,5.83,6.67,7.5,8.33,9.17,10,10,10
15.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,5.83,6.67,7.5,8.33,9.17,10,10,10
20.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,5.83,6.67,7.5,8.33,9.17,10,10,10
25.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,5.83,6.67,7.5,8.33,9.17,10,10,10
30.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,5.83,6.67,7.5,8.33,9.17,10,10,10
35.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,5.83,6.67,7.5,8.33,9.17,10,10,10
40.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,5.75,6.56,7.67,9.07,10.0,10,10,10
45.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,5.85,6.77,8.02,9.61,10.0,10,10,10
50.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,5.97,7.02,8.43,10.0,10.0,10,10,10
55.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,6.1,7.3,8.9,10.0,10.0,10,10,10
60.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,6.25,7.61,9.42,10.0,10.0,10,10,10
65.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,6.4,7.96,10.0,10.0,10.0,10,10,10
70.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,6.58,8.35,10.0,10.0,10.0,10,10,10
75.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,6.76,8.77,10.0,10.0,10.0,10,10,10
80.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,6.96,9.22,10.0,10.0,10.0,10,10,10
85.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,7.17,9.71,10.0,10.0,10.0,10,10,10
90.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,7.4,10.0,10.0,10.0,10.0,10,10,10
95.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,7.64,10.0,10.0,10.0,10.0,10,10,10
100.0,0,0,0,0.83,1.67,2.5,3.33,4.17,5.0,7.89,10.0,10.0,10.0,10.0,10,10,10
